Country,Crop,Year,Area_harvested_ha,Production_t,Yield_t_ha,Rainfall_mm_year,Temp_C_mean,Solar_rad_MJ_m2_day_mean
Ethiopia,Maize,1993,838450.0,1455920.0,1.7364000000000002,2137.4968,19.379166666666663,20.716666666666665
Ethiopia,Maize,1994,1242740.0,1396230.0,1.1235,1856.2312,19.789166666666667,21.589166666666667
Ethiopia,Maize,1995,1464080.0,1989700.0,1.359,1706.162,20.134166666666665,20.769166666666667
Ethiopia,Maize,1996,1880580.0,3164180.0,1.6826,2425.4592,19.5675,20.460833333333333
Ethiopia,Maize,1997,1718270.0,2986500.0,1.7381,1953.9436,20.0675,21.00166666666667
Ethiopia,Maize,1998,1449300.0,2344300.0,1.6175,2113.4492,20.05333333333333,20.586666666666662
Ethiopia,Maize,1999,1651350.0,2832070.0,1.715,1678.766,19.63583333333333,21.28
Ethiopia,Maize,2000,1655750.0,2682940.0,1.6204,1415.46,19.871666666666663,21.08
Ethiopia,Maize,2001,1892690.0,3298330.0,1.7427,1080.62,20.526666666666667,20.365
Ethiopia,Maize,2002,1506759.0,2825555.0,1.8753,1009.6948,21.47083333333333,21.023333333333333
Ethiopia,Maize,2003,1791115.0,2743880.0,1.5319,973.1668,21.5975,20.891666666666666
Ethiopia,Maize,2004,1801566.0,2906314.0,1.6132,1012.13,21.241666666666667,20.805
Ethiopia,Maize,2005,1950115.0,3911869.0,2.006,1228.254,20.569166666666664,21.24833333333333
Ethiopia,Maize,2006,1526125.0,4029630.0,2.6404,1977.3824,20.3875,20.519166666666667
Ethiopia,Maize,2007,2348154.0,4281077.53,1.8232,1883.6272,19.735833333333336,20.71
Ethiopia,Maize,2008,2374989.0,4473011.03,1.8834,1722.5996,19.8875,21.105833333333333
Ethiopia,Maize,2009,2416619.0,4796706.24,1.9849,1689.42,20.258333333333333,21.280833333333334
Ethiopia,Maize,2010,2499980.0,5481405.9,2.1926,2134.7572,20.04583333333333,19.93
Ethiopia,Maize,2011,2587240.0,5747070.0,2.2213000000000003,1346.6656,20.005,21.026666666666667
Ethiopia,Maize,2012,2583900.0,6700800.7,2.5933,1517.1296000000002,20.40333333333333,21.12333333333333
Ethiopia,Maize,2013,2593066.0,7105706.19,2.7403000000000004,2221.5112000000004,20.015,20.724166666666665
Ethiopia,Maize,2014,2620090.0,7729849.74,2.9502,2282.3912000000005,19.855,20.55666666666667
Ethiopia,Maize,2015,2957510.0,8211424.38,2.7765,1865.972,20.624166666666667,21.596666666666664
Ethiopia,Maize,2016,3002159.0,8846787.38,2.9468,2278.7384,20.269166666666667,20.65083333333333
Ethiopia,Maize,2017,3166792.0,10488192.84,3.3119,2081.4872,20.19333333333333,20.9975
Ethiopia,Maize,2018,3255852.0,10864092.0,3.3368,1539.6552,20.41583333333333,20.755
Ethiopia,Maize,2019,3161370.0,11555370.0,3.6552,1991.6892000000005,20.66333333333333,20.57583333333333
